# gpu=4 cmd=/usr/bin/python3 -u baselines/run_nsreg.py --dataset photo --seed 42 --method nsreg --tag NT_lr0.003_wd0.0 --rotations 0 --set lr=0.003 lbl_lr=0.003 clf_lr=0.003 weight_decay=0.0 n_epochs=400
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[0.04823529 0.22039216 0.09189542 0.11960784 0.11529412 0.1075817
 0.25372549 0.04326797]
[photo] NSReg, rotations [np.int64(0)] of [np.int64(0), np.int64(7)]
[photo] n_epochs=400 eval_every=1 input_dim=745 wd=0.0 lr=0.003
Normal classes: [1, 2, 3, 4, 5, 6] in photo
using idx from: split_50.pkl - num known anomalies 50
num known anomalies: 50
Building multi-layer GraphSage
GRAPHSAGE used as the encoder
building the dataloader ...
/nas/home/jahin/.local/lib/python3.10/site-packages/torch/functional.py:554: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /pytorch/aten/src/ATen/native/TensorShape.cpp:4314.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
num train pos edges: 477  num train neg edges: 3188
NSReg Training ...
Batch mode: enabled original propertion
Epoch 235 loss=0.4834, clf_loss=0.0006, lbl_loss=0.4828
Epoch 236 loss=0.4696, clf_loss=0.0008, lbl_loss=0.4688
Epoch 237 loss=0.4507, clf_loss=0.0045, lbl_loss=0.4462
Epoch 238 loss=0.4612, clf_loss=0.0010, lbl_loss=0.4602
Epoch 239 loss=0.4832, clf_loss=0.0022, lbl_loss=0.4810
Epoch 240 loss=0.4388, clf_loss=0.0030, lbl_loss=0.4357
Epoch 241 loss=0.4403, clf_loss=0.0007, lbl_loss=0.4396
Epoch 242 loss=0.4636, clf_loss=0.0033, lbl_loss=0.4603
Epoch 243 loss=0.4573, clf_loss=0.0027, lbl_loss=0.4547
Epoch 244 loss=0.4501, clf_loss=0.0014, lbl_loss=0.4488
Epoch 245 loss=0.4545, clf_loss=0.0106, lbl_loss=0.4439
Epoch 246 loss=0.4279, clf_loss=0.0006, lbl_loss=0.4273
Epoch 247 loss=0.4937, clf_loss=0.0062, lbl_loss=0.4875
Epoch 248 loss=0.4850, clf_loss=0.0005, lbl_loss=0.4845
Epoch 249 loss=0.4362, clf_loss=0.0012, lbl_loss=0.4349
Epoch 250 loss=0.4480, clf_loss=0.0021, lbl_loss=0.4459
Epoch 251 loss=0.4421, clf_loss=0.0007, lbl_loss=0.4415
Epoch 252 loss=0.4470, clf_loss=0.0017, lbl_loss=0.4453
Epoch 253 loss=0.4485, clf_loss=0.0005, lbl_loss=0.4480
Epoch 254 loss=0.4977, clf_loss=0.0019, lbl_loss=0.4958
Epoch 255 loss=0.4426, clf_loss=0.0003, lbl_loss=0.4423
Epoch 256 loss=0.4182, clf_loss=0.0071, lbl_loss=0.4111
Epoch 257 loss=0.4790, clf_loss=0.0009, lbl_loss=0.4781
Epoch 258 loss=0.4715, clf_loss=0.0008, lbl_loss=0.4707
Epoch 259 loss=0.4815, clf_loss=0.0008, lbl_loss=0.4806
Epoch 260 loss=0.4572, clf_loss=0.0050, lbl_loss=0.4523
Epoch 261 loss=0.4425, clf_loss=0.0007, lbl_loss=0.4418
Epoch 262 loss=0.4725, clf_loss=0.0005, lbl_loss=0.4720
Epoch 263 loss=0.4503, clf_loss=0.0109, lbl_loss=0.4394
