/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[0.04823529 0.22039216 0.09189542 0.11960784 0.11529412 0.1075817
 0.25372549 0.04326797]
[photo] NSReg, rotations [np.int64(7)] of [np.int64(0), np.int64(7)]
[photo] n_epochs=400 eval_every=1 input_dim=745 wd=0.0 lr=0.003
Normal classes: [1, 2, 3, 4, 5, 6] in photo
using idx from: split_50.pkl - num known anomalies 50
num known anomalies: 50
Building multi-layer GraphSage
GRAPHSAGE used as the encoder
building the dataloader ...
/nas/home/jahin/.local/lib/python3.10/site-packages/torch/functional.py:554: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /pytorch/aten/src/ATen/native/TensorShape.cpp:4314.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
num train pos edges: 714  num train neg edges: 2790
NSReg Training ...
Batch mode: enabled original propertion
Epoch 176 loss=0.5923, clf_loss=0.0134, lbl_loss=0.5790
Epoch 177 loss=0.6052, clf_loss=0.0241, lbl_loss=0.5811
Epoch 178 loss=0.6406, clf_loss=0.0200, lbl_loss=0.6206
Epoch 179 loss=0.5763, clf_loss=0.0218, lbl_loss=0.5545
Epoch 180 loss=0.6505, clf_loss=0.0265, lbl_loss=0.6239
Epoch 181 loss=0.6302, clf_loss=0.0211, lbl_loss=0.6090
Epoch 182 loss=0.6116, clf_loss=0.0166, lbl_loss=0.5950
Epoch 183 loss=0.6076, clf_loss=0.0162, lbl_loss=0.5915
Epoch 184 loss=0.5909, clf_loss=0.0126, lbl_loss=0.5783
Epoch 185 loss=0.5902, clf_loss=0.0298, lbl_loss=0.5604
Epoch 186 loss=0.6345, clf_loss=0.0306, lbl_loss=0.6040
Epoch 187 loss=0.6049, clf_loss=0.0096, lbl_loss=0.5953
Epoch 188 loss=0.5883, clf_loss=0.0162, lbl_loss=0.5721
Epoch 189 loss=0.5720, clf_loss=0.0038, lbl_loss=0.5683
Epoch 190 loss=0.6119, clf_loss=0.0242, lbl_loss=0.5877
Epoch 191 loss=0.5962, clf_loss=0.0203, lbl_loss=0.5758
Epoch 192 loss=0.5927, clf_loss=0.0219, lbl_loss=0.5707
Epoch 193 loss=0.6074, clf_loss=0.0275, lbl_loss=0.5799
Epoch 194 loss=0.5822, clf_loss=0.0181, lbl_loss=0.5641
Epoch 195 loss=0.6084, clf_loss=0.0398, lbl_loss=0.5686
Epoch 196 loss=0.5721, clf_loss=0.0133, lbl_loss=0.5589
Epoch 197 loss=0.6038, clf_loss=0.0268, lbl_loss=0.5769
Epoch 198 loss=0.6272, clf_loss=0.0243, lbl_loss=0.6029
Epoch 199 loss=0.6311, clf_loss=0.0119, lbl_loss=0.6192
Epoch 200 loss=0.5660, clf_loss=0.0200, lbl_loss=0.5460
Epoch 201 loss=0.5674, clf_loss=0.0107, lbl_loss=0.5566
Epoch 202 loss=0.5636, clf_loss=0.0041, lbl_loss=0.5595
Epoch 203 loss=0.5935, clf_loss=0.0050, lbl_loss=0.5885
Epoch 204 loss=0.5787, clf_loss=0.0197, lbl_loss=0.5590
Epoch 205 loss=0.6051, clf_loss=0.0164, lbl_loss=0.5887
Epoch 206 loss=0.5645, clf_loss=0.0055, lbl_loss=0.5591
Epoch 207 loss=0.6031, clf_loss=0.0251, lbl_loss=0.5781
Epoch 208 loss=0.6137, clf_loss=0.0262, lbl_loss=0.5875
Epoch 209 loss=0.5538, clf_loss=0.0141, lbl_loss=0.5398
Epoch 210 loss=0.6017, clf_loss=0.0125, lbl_loss=0.5892
Epoch 211 loss=0.5978, clf_loss=0.0210, lbl_loss=0.5768
Epoch 212 loss=0.5422, clf_loss=0.0027, lbl_loss=0.5396
Epoch 213 loss=0.5490, clf_loss=0.0092, lbl_loss=0.5398
Epoch 214 loss=0.6059, clf_loss=0.0088, lbl_loss=0.5971
Epoch 215 loss=0.5706, clf_loss=0.0099, lbl_loss=0.5607
Epoch 216 loss=0.6113, clf_loss=0.0204, lbl_loss=0.5909
Epoch 217 loss=0.5717, clf_loss=0.0152, lbl_loss=0.5565
Epoch 218 loss=0.6050, clf_loss=0.0297, lbl_loss=0.5753
Epoch 219 loss=0.5788, clf_loss=0.0050, lbl_loss=0.5738
Epoch 220 loss=0.5916, clf_loss=0.0287, lbl_loss=0.5629
Epoch 221 loss=0.5556, clf_loss=0.0059, lbl_loss=0.5497
Epoch 222 loss=0.5672, clf_loss=0.0066, lbl_loss=0.5605
Epoch 223 loss=0.5747, clf_loss=0.0131, lbl_loss=0.5616
Epoch 224 loss=0.6118, clf_loss=0.0232, lbl_loss=0.5886
Epoch 225 loss=0.5272, clf_loss=0.0044, lbl_loss=0.5228
Epoch 226 loss=0.5531, clf_loss=0.0132, lbl_loss=0.5399
Epoch 227 loss=0.5472, clf_loss=0.0165, lbl_loss=0.5307
Epoch 228 loss=0.5609, clf_loss=0.0237, lbl_loss=0.5372
Epoch 229 loss=0.5757, clf_loss=0.0181, lbl_loss=0.5576
Epoch 230 loss=0.5929, clf_loss=0.0171, lbl_loss=0.5758
Epoch 231 loss=0.6206, clf_loss=0.0343, lbl_loss=0.5863
Epoch 232 loss=0.6051, clf_loss=0.0580, lbl_loss=0.5471
Epoch 233 loss=0.5507, clf_loss=0.0113, lbl_loss=0.5394
Epoch 234 loss=0.5285, clf_loss=0.0116, lbl_loss=0.5168
Epoch 235 loss=0.5530, clf_loss=0.0221, lbl_loss=0.5309
Epoch 236 loss=0.5527, clf_loss=0.0066, lbl_loss=0.5461
Epoch 237 loss=0.5813, clf_loss=0.0157, lbl_loss=0.5656
Epoch 238 loss=0.5731, clf_loss=0.0162, lbl_loss=0.5569
Epoch 239 loss=0.5290, clf_loss=0.0181, lbl_loss=0.5109
Epoch 240 loss=0.5092, clf_loss=0.0075, lbl_loss=0.5018
Epoch 241 loss=0.5551, clf_loss=0.0094, lbl_loss=0.5457
Epoch 242 loss=0.5864, clf_loss=0.0163, lbl_loss=0.5702
Epoch 243 loss=0.5642, clf_loss=0.0262, lbl_loss=0.5380
Epoch 244 loss=0.6016, clf_loss=0.0283, lbl_loss=0.5733
Epoch 245 loss=0.5243, clf_loss=0.0122, lbl_loss=0.5121
Epoch 246 loss=0.5964, clf_loss=0.0343, lbl_loss=0.5621
Epoch 247 loss=0.6150, clf_loss=0.0281, lbl_loss=0.5870
Epoch 248 loss=0.5714, clf_loss=0.0291, lbl_loss=0.5423
Epoch 249 loss=0.5980, clf_loss=0.0494, lbl_loss=0.5485
Epoch 250 loss=0.5340, clf_loss=0.0138, lbl_loss=0.5203
Epoch 251 loss=0.6016, clf_loss=0.0200, lbl_loss=0.5816
Epoch 252 loss=0.5487, clf_loss=0.0084, lbl_loss=0.5403
Epoch 253 loss=0.5284, clf_loss=0.0115, lbl_loss=0.5169
Epoch 254 loss=0.5606, clf_loss=0.0481, lbl_loss=0.5125
Epoch 255 loss=0.5639, clf_loss=0.0274, lbl_loss=0.5365
Epoch 256 loss=0.5531, clf_loss=0.0049, lbl_loss=0.5482
Epoch 257 loss=0.6200, clf_loss=0.0553, lbl_loss=0.5647
Epoch 258 loss=0.5459, clf_loss=0.0215, lbl_loss=0.5244
Epoch 259 loss=0.5720, clf_loss=0.0071, lbl_loss=0.5649
Epoch 260 loss=0.5651, clf_loss=0.0224, lbl_loss=0.5427
Epoch 261 loss=0.5503, clf_loss=0.0121, lbl_loss=0.5382
Epoch 262 loss=0.5595, clf_loss=0.0083, lbl_loss=0.5512
Epoch 263 loss=0.5886, clf_loss=0.0178, lbl_loss=0.5708
Epoch 264 loss=0.5932, clf_loss=0.0224, lbl_loss=0.5708
Epoch 265 loss=0.5422, clf_loss=0.0116, lbl_loss=0.5306
Epoch 266 loss=0.5927, clf_loss=0.0152, lbl_loss=0.5775
Epoch 267 loss=0.5759, clf_loss=0.0051, lbl_loss=0.5708
Epoch 268 loss=0.5539, clf_loss=0.0033, lbl_loss=0.5506
Epoch 269 loss=0.5486, clf_loss=0.0094, lbl_loss=0.5392
Epoch 270 loss=0.5822, clf_loss=0.0202, lbl_loss=0.5620
Epoch 271 loss=0.5556, clf_loss=0.0061, lbl_loss=0.5495
Epoch 272 loss=0.5845, clf_loss=0.0204, lbl_loss=0.5641
Epoch 273 loss=0.5308, clf_loss=0.0085, lbl_loss=0.5223
Epoch 274 loss=0.5648, clf_loss=0.0280, lbl_loss=0.5368
Epoch 275 loss=0.5621, clf_loss=0.0205, lbl_loss=0.5416
Epoch 276 loss=0.5720, clf_loss=0.0088, lbl_loss=0.5632
Epoch 277 loss=0.5707, clf_loss=0.0101, lbl_loss=0.5607
Epoch 278 loss=0.5542, clf_loss=0.0106, lbl_loss=0.5435
Epoch 279 loss=0.5271, clf_loss=0.0281, lbl_loss=0.4990
Epoch 280 loss=0.5746, clf_loss=0.0222, lbl_loss=0.5524
Epoch 281 loss=0.5309, clf_loss=0.0039, lbl_loss=0.5271
Epoch 282 loss=0.5127, clf_loss=0.0050, lbl_loss=0.5077
Epoch 283 loss=0.5976, clf_loss=0.0189, lbl_loss=0.5787
